Species,AphiaID,TSN_code,Grouping comment,,
Dipturus spp,711846,,,,
Dipturus nidarosiensis,105871,,,,
Dipturus oxyrinchus,105872,564148,,,
Dipturus oxyrinchus,293392,160887,,,
Ephippion guttifer,127413,646292,,,
Epigonus telescopus,126858,,,,
Epinephelus marginatus,127036,,,,
Etmopterus princeps,105911,160659,,,
Etmopterus pusillus,105912,160660,,,
Etmopterus spinax,105913,160670,,,
Galeorhinus galeus,105820,160181,,,
Galeus spp,105812,160034,G. melastomus, G. atlanticus,
Galeus spp,105811,,,,
Galeus murinus,105813,,,,
Glaucostegus cemiculus,1016062,,,,
Glaucostegus spp,269225,,,,
Gymnura altavela,105856,,,,
Helicolenus dactylopterus,127251,166787,,,
Hexanchus griseus,105833,159819,,,
Hippocampus guttulatus,154776,166498,,,
Hippocampus hippocampus,127380,166497,,,
Hippocampus spp,126224,,,,
Hippoglossus hippoglossus,127138,172933,,,
Hoplostethus atlanticus,126402,,,,
Hydrolagus mirabilis,105826,,,,
Isurus paucus,105840,,,,
Labrus bergylta,126865,170737,,,
Lamna nasus,105841,159911,,,
Lampetra fluviatilis,,159700,,,
Lampetra fluviatilis,101172,159719,,,
Lampetra fluviatilis,,615903,,,
Leucoraja circularis,105873,564128,,,
Leucoraja fullonica,105874,564134,,,
Leucoraja naevus,105876,564143,,,
Lophius budegassa,126554,164502,,,
Lophius piscatorius,126555,164501,,,
Macrourus berglax,126472,165421,,,
Manta spp,105755,,,,
Mobula birostris ,1026118,,,,
Mobula mobular,105858,,,,
Mobula spp,105756,,,,
Mola mola,127405,173414,,,
Molva dypterygia,126459,164761,,,
Molva macrophthalma,126460,164763,,,
Molva molva,126461,164760,,,
Mora moro,126497,164687,,,
Mustelus spp,105732,160226,M. asterias, M. mustelus,
Mustelus spp,105821,160240,,,
Mustelus spp,105822,160242,,,
Mycteroperca fusca,127038,,,,
Myliobatis aquila,105860,160983,,,
Oxynotus centrina,105914,,,,
Oxynotus paradoxus,105915,,,,
Petromyzon marinus,101169,159721,,,
Petromyzon marinus,101174,159722,,,
Petromyzon marinus,101163,,,,
Phycis blennoides,125475,,,,
Phycis blennoides,126501,164751,,,
Pollachius pollachius,126440,164728,,,
Polyprion americanus,126998,167914,,,
Pomatomus saltatrix,151482,,,,
Pomatoschistus spp,126927,171982,P. microps, P. minutus,
Pomatoschistus spp,322770,,,,
Pomatoschistus spp,126928,171978,,,
Raja brachyura,367297,160880, Plus Bathyraja brachyurops),,
Raja brachyura,105882,,,,
Raja brachyura,271509,,,,
Raja clavata,105883,160901,,,
Raja microocellata,105885,160882,,,
Raja montagui,105887,160883,,,
Raja undulata,105891,160900,,,
Rajella bathyphila,105892,564125,,,
Rajella fyllae,105894,564135,,,
Rajella lintea,105870,564141,,,
Rajella lintea,1019591,,,,
Rhinobatidae,105712,,,,
Rhinobatos rhinobatos,105898,,,,
Rhinochimaera atlantica,105830,,,,
Rostroraja alba,105896,564123,,,
Salmo trutta,127187,161997,,,
Salmo trutta,223866,,,,
Sciaena umbra,127010,,,,
Scophthalmus maximus,127149,172748,,,
Scophthalmus maximus,154473,616195,,,
Scophthalmus rhombus,127150,172749,,,
Scorpaena scrofa,127248,166839,,,
Scyliorhinus canicula,105814,160065,,,
Scyliorhinus canicula,399562,,,,
Scyliorhinus stellaris,105815,160067,,,
Scymnodon ringens,105918,160755,,,
Sebastes,126175,166705,,,
Sebastes spp,127253,166745,S. marinus, S. mentella, S. norvegicus
Sebastes spp,127254,166756,,,
Sebastes spp,151324,,,,
Sebastes viviparus,127255,166779,,,
Somniosus microcephalus,105919,160611,,,
Sparus aurata,151523,169226,,,
Sparus aurata,,647901,,,
Sphyrna lewini,105816,,,,
Sphyrna tudes,105818,,,,
Sphyrna zyganea,105819,,,,
Sphyrnidae,105694,,,,
Squalus spp,160604,160604,Squalus, S. acanthias, Squalidae
Squalus spp,160616,160616,,,
Squalus spp,105923,160617,,,
Squatina squatina,105928,,,,
Synaphobranchus kaupi,126328,161582,,,
Tetronarce nobiliana,321911,160834,,,
Tetronarce nobiliana,157868,,,,
Tetronarce nobiliana,321911,,,,
Torpedo marmorata,271684,160838,,,
Trachyrincus scabrus,126482,550660,,,
Umbrina cirrosa,127012,169306,,,
Zoarces viviparus,127123,165324,,,
